,s,a,ig
0,C1CC2CCC1O2,0.14285714285714285,-0.6973024316664252
1,C1CCCOCC1,0.14285714285714285,-0.701975933542209
2,C1CCCNCC1,0.14285714285714285,-0.41500024349495235
3,C1CNCNC1,0.16666666666666666,-0.8012328261013963
4,C1CCOCC1,0.16666666666666666,-0.6831867643348418
5,C1CCNCC1,0.16666666666666666,-0.5240879865743805
6,C1CCOC1,0.2,-0.6904930858037746
7,C1CCNC1,0.2,-0.6742375853139038
8,C1NCC2CNCC1C2,0.2222222222222222,-0.8735654548638396
9,C1CNCCCNC1,0.25,-0.8573820027522743
10,C1CC2COC(C1)O2,0.25,-0.552558034658432
11,C1COCOC1,0.3333333333333333,-0.7373013450453678
12,C1CNCCN1,0.3333333333333333,-0.7552159317128826
13,C1COCCN1,0.3333333333333333,-0.5999922366968046
14,C1COCN1,0.4,-0.9451987682492472
15,C1CNCN1,0.4,-0.9346181924042425
16,C1COCO1,0.4,-0.8940599943346837
17,CN,0.4263803680981595,-0.8483723079933225
18,CCl,0.49310344827586206,-0.13995532767462554
19,CO,0.49898580121703856,-0.8171206490977874
20,N,0.8665183537263627,-1.207113132688361
21,NS,0.9330357142857143,-0.6831154379943352
22,NN,0.9705882352941176,-1.4584711583971048
23,NO,1.0,-1.6422788412698235
